Título,Revisiones,Año Publicación,Idioma,Rating,ISBN
No solo Hitler,1,2002,2,3.79,8484323242
Better Off Wed,0,2005,2,3.76,1585476455
Better Homes and Gardens Hot Off the Grill,0,1985,2,3.0,0696014653
The Canon: A Whirligig Tour of the Beautiful Basics of Science,398,2007,2,3.66,0618242953
Woman: An Intimate Geography,332,2000,1,4.14,0385498411
The Beauty of the Beastly,24,1996,2,3.83,0395791472
Natural Obsessions: The Search for the Oncogene,10,1988,2,4.28,0395453704
Lakota Woman,336,1991,1,3.9699999999999998,0060973897
The Real Rosebud: The Triumph of a Lakota Woman,0,2004,2,3.2,0803248083
Alf Ramsey,0,1998,2,4.0,0575066016
Ron Reynolds Journal 1950s,0,2003,2,3.0,0752859994
Bon Jovi: Runaway,1,1999,2,3.0,1886894396
High School Girls: Volume 7,1,2007,2,4.0,1597960519
High School Girls: Volume 1,4,2005,2,3.42,1588992004
High School Girls: Volume 2,2,2005,2,3.47,1588992012
Fledgling,2272,2007,1,3.87,0446696161
Kindred,8315,2004,1,4.24,0807083690
Possessing the Secret of Joy,459,2005,2,4.08,0671789457
Alice Walker: A Life,22,2005,1,4.09,0393328260
There Is a Flower at the Tip of My Nose Smelling Me,38,2006,1,4.29,0060570806
To Hell with Dying,13,1993,2,4.04,0152890742
Everyday Use,157,1994,2,3.9,0813520762
Her Blue Body Everything We Know: Earthling Poems 1965-1990 Complete,34,2004,2,4.2,0156028611
Meridian,160,2004,1,3.7199999999999998,075381949X
Alice Walker: Critical Perspectives Past And Present,0,2000,2,4.4,1567430260
The Third Life Of Grange Copeland,147,2004,1,4.06,0753819503
Alice Walker,0,2002,2,3.86,0791061825
Critical Essays on Alice Walker,0,1999,2,1.0,0313300127
Alice Walker: Freedom Writer,0,2000,2,4.0,0822549603
Once,18,1976,2,3.92,0156687453
Pema Chodron and Alice Walkerin Conversation: On the Meaning of Suffering and the Mystery of Joy,0,1999,2,4.29,1564556700
Making American Lit. Tradition,0,1990,2,0.0,0813515173
United States Authors Series: Alice Walker,0,1992,2,0.0,0805776427
A Language Older Than Words,201,2004,2,4.29,1931498555
The Culture of Make Believe,128,2004,2,4.24,1931498571
Rescued from the Reich: How One of Hitler’s Soldiers Saved the Lubavitcher Rebbe,5,2006,1,3.8,0300115318
The Lost Treasure of King Juba: The Evidence of Africans in America before Columbus,1,2003,2,3.68,1591430062
Castillos de cartón,7,2004,2,3.7,8483102595
The Wind from the East,14,2007,1,3.91,1583227466
Stand Before Your God: An American Schoolboy in England,19,1995,2,4.06,0679759417
In Defense of Anarchism,29,1998,1,3.59,0520215737
The ABC of Anarchism,35,2005,1,3.92,0486433692
Anarchism: Arguments For and Against,7,2001,1,3.27,1873176570
Social Anarchism or Lifestyle Anarchism: An Unbridgeable Chasm,28,1995,1,3.4,187317683X
No Gods No Masters: An Anthology of Anarchism,25,2005,2,4.11,1904859259
Endless Love,375,2003,1,3.54,0880016280
Botchan (Master Darling),0,2006,2,3.6,1406939153
The Times Of Botchan Vol.1,6,2005,1,3.5700000000000003,8496427013
Botchan Master Darling,0,2004,2,3.6,1419110683
Slim Aarons: Once Upon A Time,4,2003,2,4.64,0810946033
Slim Aarons: A Place in the Sun,0,2005,2,4.38,0810959356
Corporations Are Gonna Get Your Mama: Globalization and the Downsizing of the American Dream,1,2002,2,3.5,1567511120
The Country Under My Skin: A Memoir of Love and War,153,2003,1,4.19,1400032164
Dancing on the Rings of Saturn,0,2002,2,5.0,0595214878
Hong Kong,22,1997,2,3.83,0679776486
The World: Travels 1950-2000,12,2003,1,4.03,0393052087
Pax Britannica: Climax of an Empire,17,2002,1,4.24,0156028018
Trieste and The Meaning of Nowhere,95,2002,1,3.9699999999999998,0306811804
The World of Venice: Revised Edition,15,1995,2,4.04,0156983567
The Venetian Empire: A Sea Voyage,15,1990,1,3.98,0140119949
Pleasures of a Tangled Life,2,1990,2,3.59,0679731318
Autobiography of Red,1332,1999,1,4.32,037570129X
The Autobiography of Red Cloud: War Leader of the Oglalas,0,1997,2,3.8,0917298497
The Red Fighter Pilot: The Autobiography of the Red Baron,11,2007,2,3.89,097918133X
Lofts DesignSource,1,2005,2,3.43,006074975X
Lofts: Good Ideas,1,2003,2,3.75,0060544716
Lofts 2: Good Ideas,2,2006,2,3.7,0060847298
Loft Bible,0,2011,2,3.33,9076886237
L.A. Lofts,1,2006,2,4.5,0811851729
Lofts,0,1999,2,3.6,1858686679
Small Lofts / Petits Lofts / Kleine Lofts (Evergreen),0,2006,2,3.8,3822827851
Loft Design: Solutions for Creating a Livable Space,1,2005,2,3.33,1592531377
Japanese Style: A Little Style Book (International Library Book),1,1999,2,4.1,0517882132
Styles and Motifs of Japanese Gardens,0,2005,2,4.0,4889961836
Japanese Family-Style Recipes,1,1992,2,3.71,4770015836
Communicative Styles of Japanese and Americans,0,1988,2,3.0,0534093728
The Japanese Style of Business Accounting,0,1999,2,0.0,1567202195
Making Japanese-Style Lamps and Lanterns: 18 Woodworking Projects including Complete Plans and Step-by-Step Instructions,0,2003,2,4.03,0881791989
French Style: A Little Style Book (International Style Book),0,1999,2,3.29,0517882140
Have Some Sand,0,1993,2,3.0,0517112833
Garden Tools,1,1996,2,3.75,0789200872
International Book of Lofts,3,1986,2,3.8,051756016X
Mittel Europa: Rediscovering the Style and Design of Central Europe,3,1994,2,4.28,051758803X
Trick or Treat,1,2001,2,3.56,0517588870
Dimpled Lunatics: The Mad World of Babyhood,1,1993,2,2.8,051758932X
Amen: Prayers and Blessings from Around the World,2,1995,2,2.71,067086045X
English Style: A Little Style Book (International Style Book),1,1999,2,4.19,0517882159
Kitchen Ceramics,0,1997,2,0.0,0789202883
English Style,0,1994,2,4.19,0517426927
Spanish Style,2,1990,2,4.33,0517574381
A Journey in Ladakh: Encounters with Buddhism,27,2000,2,4.01,0618056750
Possible Side Effects,1321,2007,1,3.99,031242681X
The Traitor Heart,0,1995,2,0.0,0708933343
The Heart Is a Traitor,0,1993,2,3.75,1560546182
I Write What I Like: Selected Writings,113,2002,2,4.32,0226048977
Why I Write: Thoughts on the Craft of Fiction,21,1999,1,3.66,0316115924
What Did I Write?: Beginning Writing Behaviour,0,1975,2,4.39,0435011200
50 Reasons Not to Vote for Bush,1,2004,2,4.0,1932595023
Democracy and Regulation: How the Public Can Govern Essential Services,1,2003,2,4.0,0745319424
50 Simple Things Kids Can Do to Save the Earth,12,1990,2,3.99,0836223012
50 Things Every Guy Should Know How to Do: Celebrity and Expert Advice on Living Large,4,2006,2,2.5700000000000003,0452286654
Myst: Das Buch Atrus,0,1996,6,4.02,3404209001
La comodidad del hogar: Guia illustrada y detallada de cuidado y asistencia (The Comfort of Home),0,2002,2,3.33,0966476727
Quick & Easy Comfort Cooking,0,2003,2,4.0,0696215497
The Comforts of Home: Prostitution in Colonial Nairobi,0,1990,2,3.83,0226895068
Christmas Comfort & Joy (Better Homes & Gardens),6,2002,2,3.62,069621539X
The Comforts of Home: Creating Relaxed Rooms with a Romantic Feel,5,2000,2,3.76,0688171869
Come Home to Hope,0,1999,2,0.0,0892214716
Comforts of Home Cooking,0,2002,2,0.0,0696215578
The Comfort of Home: A Complete Guide for Caregivers,1,2007,1,3.33,0966476794
The Comforts of Home: The American House and the Evolution of Modern Convenience,1,2001,2,3.5700000000000003,0609807528
The Comfort of Home for Stroke: A Guide for Caregivers,0,2007,2,0.0,0966476786
Morningside Heights,77,2005,2,3.58,0375760687
The Hacker Crackdown: Law and Disorder on the Electronic Frontier,78,1993,1,3.77,055356370X
The Hacker Crackdown,0,2002,2,3.77,1404306412
Eric Sink on the Business of Software,12,2006,2,4.13,1590596234
The Evolution of Useful Things: How Everyday Artifacts-From Forks and Pins to Paper Clips and Zippers-Came to be as They are.,137,1994,1,3.54,0679740392
Memoirs of a Proof Theorist: Gödel and Other Logicians,1,2003,2,3.83,9812382798
Waking Up Dry: A Guide to Help Children Overcome Bedwetting,4,2005,2,3.22,1581101562
Dry All Night: The Picture Book Technique That Stops Bedwetting,4,1990,2,4.35,0316542253
Dry Bones Rattling: Community Building to Revitalize American Democracy,3,2001,2,3.85,0691074321
Neon Vernacular: New and Selected Poems,52,1993,1,4.2,0819512117
Ruby Ridge: The Truth and Tragedy of the Randy Weaver Family,14,2002,2,4.07,006000794X
Every Knee Shall Bow,24,1996,2,4.07,0061011312
In Contempt,3,1997,2,3.85,0061095982
Jess: Rave Reporter,0,2002,2,3.6,0340854103
Roman Imperialism and Provincial Art,1,2003,1,4.0,0521805929
Ingesting Jesus,0,2003,2,4.0,1589830466
Wushu: The Basics of Chinese Exercises for the Whole Family,0,2005,2,4.0,9654941775
Wushu Chinese Way,0,1981,2,0.0,0671438875
La tormenta del siglo,2,2000,2,3.92,8484505626
El Palacio de la Medianoche,1,2005,2,3.6,8423671240
Desencuentros,1,2004,2,3.24,1589868900
Palacio Quemado,9,2006,1,3.63,1598205463
The Matter of Desire: A Novel,8,2004,2,3.19,0618395571
Simulacros,2,2013,2,4.0,9990520720
Fio Fugitivo,0,1998,2,3.87,9990520054
La materia del deseo,5,2001,2,3.19,1581059833
Sueños digitales,1,2001,2,3.2800000000000002,9990521042
Se habla español: Voces latinas en USA,6,2005,2,3.13,1581056761
Amores Imperfectos,6,2002,2,3.84,8466307621
Memorias de un viajero peruano,0,2014,2,0.0,8498164621
Silk,1047,1998,1,3.84,0375703829
Ocean Sea,8,1999,1,4.12,0375404236
Novecento. Un monologo,620,1994,12,4.18,8807813025
La Bohème in Full Score,1,1987,2,5.0,0486254771
The Bohemians of the Latin Quarter: Scenes de la Vie de Boheme,26,2004,2,3.91,1417916214
Giacomo Puccini: La Boheme,0,1986,2,3.86,0521264898
La Boheme [Sheet Music] (Italian Language),0,2000,2,4.9,0634019430
The Company of Strangers,50,2005,1,3.7800000000000002,0425199908
The Company of Strangers: A Natural History of Economic Life,13,2005,2,3.67,0691124523
In the Company of Strangers,4,1991,2,3.8,0889222940
Laboratory Manual in Physical Geology,0,1996,2,3.67,0132666936
Essentials of Geology,2,2005,1,3.71,0131497499
Exercises in Physical Geology,0,2000,2,3.17,0023495200
Calculus for Dummies,22,2003,1,3.83,0764524984
Calculus of a Single Variable: Early Transcendental Functions,0,2006,2,3.58,0618606254
Calculus: Early Transcendental Functions,5,2006,2,3.87,0618606246
Calculus with Learning CD-ROM Seventh Edition,0,2002,2,4.13,0618239723
Precalculus,3,2006,1,3.63,0618643443
Algebra And Trigonometry,0,2005,2,3.33,0618317848
Student Study and Solutions Guide Calculus Eighth Edition Volume I Chapters P-11,0,2005,2,3.5,0618527915
Trigonometry,0,2003,2,4.0,0618317953
Calculus with Analytic Geometry,0,1998,2,4.13,0395889022
The Presence Process: A Healing Journey Into Present Moment Awareness,99,2005,2,4.35,0825305373
Building Powerful Community Organizations: A Personal Guide to Creating Groups that Can Solve Problems and Change the World,1,2007,2,3.81,0977151808
Answering Jewish Objections to Jesus: General and Historical Objections,6,2000,2,4.29,080106063X
Revolution in the Church: Challenging the Religious System with a Call for Radical Change,2,2002,2,3.74,0800793102
Revolution!: The Call to Holy War,9,2000,2,3.83,0830726403
The Afterlife and Other Stories,40,1996,2,3.73,0449912019
Villages,100,2005,2,3.2800000000000002,0345477316
Just Looking: Essays on Art,11,2001,1,3.99,0878465774
Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,467,2006,1,3.99,0060517123
The Chasm Companion: A Field Guide to Crossing the Chasm and Inside the Tornado,0,2005,2,3.91,1841124680
Crossing the Quality Chasm: A New Health System for the 21st Century,6,2001,1,4.11,0309072808
From Piglets To Prep School: Crossing A Chasm,0,2005,2,3.0,0595375693
The 1st Annual Crossing the Quality Chasm Summit: A Focus on Communities: Report of a Summit,0,2004,2,0.0,0309093031
Reunion in Barsaloi,44,2006,1,3.4,1905147139
La Massaï blanche,2,2002,3,3.45,2266112708
La Masai Blanca,0,2000,2,3.45,8439704968
The Sweeter Side of R. Crumb,25,2007,1,3.76,1846011140
Kafka,98,2005,2,4.03,1596878126
The Book of Mr. Natural,19,1995,2,3.71,1560971940
R. Crumb Draws the Blues,9,1995,2,4.2,0867194014
Odds & Ends,3,2001,2,3.9699999999999998,1582341362
Crumb Family Comics,0,2015,2,4.14,0867194278
R. Crumb: Comics,0,1992,2,0.0,3927258059
Badenheim 1939,0,2006,2,3.7199999999999998,8496375307
A Table for One: Under the Light of Jerusalem,4,2005,2,4.26,1592641105
Six Israeli Novellas,2,1999,2,3.86,1567920918
Writing and the Holocaust,1,1988,2,3.88,0841911843
Foregone Conclusions: Against Apocalyptic History,2,1994,2,4.0,0520087852
Bidding For Projects Financed By International Lending Agencies,0,1982,2,0.0,0566030330
Why There Are No Good Men Left: The Romantic Plight of the New Single Woman,1,2003,2,3.08,0767906403
Olvidado Rey Gudu,0,2005,2,4.01,8423337219
Haféz: Teachings of the Philosopher of Love,1,2004,1,4.37,0892811889
The Structural Basis of Architecture,0,1992,2,3.88,0823049361
Don Juan Tenorio,0,2004,2,3.66,1589770188
El Burlador De Sevilla / Don Juan Tenorio,0,1999,2,3.95,8429445617
Don Juan Tenorio+cd,1,2008,2,3.66,8877545941
Analisis de Don Juan Tenorio,0,2003,2,0.0,9583012122
The Outsiders Activity Pack,0,2001,2,3.75,1580496075
Stratospheric Ozone Depletion/UV-B Radiation in the Biosphere,0,1994,2,0.0,0387578102
Public Services And The 1990s: Issues In Public Service Finance And Management,0,1993,2,0.0,1872807755
How Do Families Cope with Chronic Illness?,0,1992,2,4.0,0805811117
From the Cables of Genocide: Poems on Love and Hunger,2,1991,2,4.26,1558850333
Sloth,132,2006,2,3.38,1401203663
Looking at Cuba: Essays on Culture and Civil Society,0,2003,2,5.0,0813026423
Palomar: The Heartbreak Soup Stories,73,2003,2,4.32,1560975393
SAP R/3 Handbook,2,2005,1,3.55,0072257164
The Mountain in the Sea,1,2006,2,3.85,1566891914
Irène Némirovsky: Her Life and Works,8,2006,2,3.62,0804754810
David Golder,110,2007,2,3.66,0676979459
Suite francese,115,2005,12,3.84,884592016X
The Winter Queen: Elizabeth of Bohemia,1,2000,1,3.8,1842120573
The Winter Queen,4,1999,2,3.04,0441006817
Eneida,9,1991,2,3.84,8437608988
El Pérfil de La Palabra. La Obra de Julio Ramón Ribeyro,0,2009,2,4.0,9972424685
LabVIEW for Data Acquisition,1,2001,2,2.6,0130153621
The Story of Art: Pocket Edition,48,2006,1,3.92,0714847038
A Little History of the World,1130,2005,1,4.12,0300108834
Art and Illusion: A Study in the Psychology of Pictorial Representation,36,2002,2,4.01,0714842087
Norm and Form: On the Renaissance 1,1,1994,1,3.7800000000000002,0714823805
The Preference for the Primitive: Episodes in the History of Western Taste & Art,3,2006,1,4.15,0714846325
Theravada Buddhism: A Social History from Ancient Benares to Modern Colombo,7,1988,2,3.83,0415075858
The Story of Time,1,2003,2,4.24,1858940729
The Essential Gombrich,3,1996,1,3.86,0714834874
The Sense of Order (Wrightsman Lectures 9),2,1994,1,3.86,0714822590
Ramón del Valle-Inclán,0,1972,2,0.0,0231034997
Ramón Del Valle Inclán: An Annotated Bibliography,0,1999,2,0.0,0729304159
Global Shift: Reshaping the Global Economic Map in the 21st Century,2,2003,1,3.85,1572308990
Operations Management [with Student DVD and Power Web],0,2004,1,3.84,0072971223
Cataclysm: The First World War as Political Tragedy,22,2005,2,4.12,0465081851
Buzzed: The Straight Facts about the Most Used & Abused Drugs from Alcohol to Ecstasy,23,2003,1,4.07,0393324931
Soulstealers: The Chinese Sorcery Scare of 1768,30,1992,1,4.1,0674821521
Who Is This King of Glory?,0,1992,2,4.41,156459176X
Lost Light: An Interpretation of Ancient Scriptures,0,1992,2,4.48,1564591778
Evidence,1,2007,2,4.07,3865213723
The Logic of Scientific Discovery,99,2002,1,4.02,0415278449
The Open Society and Its Enemies - Volume Two: Hegel and Marx,52,2003,1,4.02,0415278422
Popper Selections,8,1985,2,4.06,0691020310
The Poverty of Historicism,39,2002,1,3.87,0415278465
Conjectures and Refutations: The Growth of Scientific Knowledge,47,2002,2,4.15,0415285941
From Technological to Virtual Art,0,2006,2,4.0,026216230X
All Life Is Problem Solving,14,2001,2,4.09,0415249929
El heredero,1,2014,2,3.4,8466311246
Herederos Del Amor (Harlequin Bianca),0,2005,2,2.84,0373338171
Golden Secrets of Mystic Oils,2,2001,1,3.7,0943832160
Mexican Americans & World War II,0,2005,2,3.83,0292706812
Soledad,35,2002,1,3.8200000000000003,0743212029
Nuestra Señora de La Soledad,11,2002,2,3.55,9871106025
Mission Nuestra Señora De La Soledad,0,2001,2,5.0,0823955001
To Remain an Indian: Lessons in Democracy from a Century of Native American Education,4,2006,1,4.0,0807747165
Remains of a Rainbow: Rare Plants and Animals of Hawaii,3,2003,1,4.33,0792262468
Sófocles,3,2004,2,4.61,8484037053
The Wars of Napoleon,0,1995,2,3.0,0582059550
The Peninsular War: A New History,5,2003,2,3.73,1403962316
A-Z of Doom  Gothic Metal,0,2003,2,3.69,1901447146
Black Sabbath: Doom Let Loose: An Illustrated History,10,2006,2,4.28,1550227319
Linguistics for Non-Linguists: A Primer with Exercises,0,2004,1,3.36,0205421180
Historical Linguistics: An Introduction,15,2004,1,3.95,0262532670
A Concise Introduction to Linguistics,0,2005,2,3.6,0205446159
Linguistics of American Sign Language: An Introduction,3,2005,1,4.22,1563682834
The New Linguistic and Exegetical Key to the Greek New Testament,6,1998,2,4.32,0310201756
Linguistic Anthropology,4,2001,2,3.7,0631221115
Hacking Exposed VOIP: Voice Over IP Security Secrets & Solutions,0,2006,2,3.44,0072263644
Hacking: The Art of Exploitation,63,2004,2,4.15,1593270070
Hacking Exposed Web Applications: Web Security Secrets & Solutions,1,2006,1,3.67,0072262990
Hacking For Dummies,16,2006,1,3.68,047005235X
Private Lessons John Lyons Answers Your Questions About Care & Training,0,2000,2,4.11,1879620634
Hands-On Ethical Hacking and Network Defense,2,2005,2,3.7199999999999998,0619217081
Introduction to Theoretical Linguistics,5,1968,1,3.98,0521095107
Natural Language and Universal Grammar: Volume 1: Essays in Linguistic Theory,0,1991,2,3.86,0521246962
Linguistic Semantics: An Introduction,6,1995,1,3.79,0521438772
Language and Linguistics,10,1981,1,3.86,0521297753
Mac OS X: Los Mejores Trucos,0,2004,2,0.0,8441516499
Wireless: Los Mejores Trucos,0,2004,2,3.51,8441516472
Windows XP los Mejores Trucos,0,2004,2,3.66,8441516502
Shadows of Forgotten Ancestors,167,1993,2,4.25,0345384725
Pale Blue Dot: A Vision of the Human Future in Space,787,1997,1,4.32,0345376595
Billions & Billions: Thoughts on Life and Death at the Brink of the Millennium,387,1998,2,4.28,0345379187
Contact,2140,1997,1,4.14,2266079999
Entity Possession: Freeing the Energy Body of Negative Influences,4,1997,1,4.02,0892816120
Bonjour tristesse,880,2002,3,3.64,2266127748
Goldilocks and the Three Bears/Ricitos De Oro Y los Tres Osos,2,1998,2,3.33,0811818357
Gonzalo Torrente Ballester,0,1984,2,0.0,0805765832
The Second Objective,69,2007,2,3.7,140130222X
Los seis mesías,0,2006,2,3.56,0061145769
El Quijote Como Juego y Otros Trabajos,0,2005,2,3.67,8423335984
Le roi ébahi,0,1993,2,3.66,2868697291
Understanding Camilo Jose Cela,0,1998,2,3.0,1570031517
The Family of Pascual Duarte,1,1990,2,3.74,0316134325
The Hive,4,1990,1,3.77,0374522308
Old Spain and New Spain: The Travel Narratives of Camilo Jose Cela,0,2004,2,2.5,083864015X
Camilo Jose Cela Revisited: The Later Novels (World Authors Series),0,2000,2,0.0,0805716408
Nuevo viaje a la Alcarria,3,1986,2,3.38,840138088X
La familia de Pascual Duarte,75,1994,2,3.74,072930356X
Mazurka for Two Dead Men: A Novel,0,1992,2,3.7,081121222X
El juego de los tres madroños,0,1983,2,2.0,8423312399
Barcelona,0,1975,2,4.0,8427960255
El tacatá oxidado: Florilegio de carpetovetonismos y otras lindezas,0,1973,2,3.0,8427906358
Páginas de geografía errabunda,1,1976,2,1.5,8427911580
Nuevas andanzas y desventuras de Lazarillo de Tormes,3,2019,2,3.35,9505811519
Lazarillo de Tormes: A Dual-Language Book,4,2001,2,3.52,0486414310
Lazarillo de Tormes and The Swindler: Two Spanish Picaresque Novels,29,2003,1,3.62,0140449000
Lazarillo de Tormes: A Kaplan Spanish-Language Vocabulary-Building Novel,0,2004,2,3.52,0743262840
La vida de Lazarillo de Tormes y de sus fortunas y adversidades,1,1961,2,3.52,0299005453
El Lazarillo de Ciegos Caminantes,1,2005,2,3.27,9871136269
Los Tres Cerdos = The Three Little Pigs,8,1998,2,4.26,0934925054
Early Salinas (Images of America: California),0,2005,1,3.8,0738529931
Salinas Valley (Images of America: California),0,2005,1,5.0,0738530484
Country Pals,0,2002,2,3.0,1581171676
Bug Buddies,1,2002,2,4.0,1581171668
Yo Soy la Hija de Mi Padre: Una Vida Sin Secretos,2,2006,2,3.63,0060821000
The Icky Sticky Frog,23,2005,2,4.1,1581172192
Hijos de La IRA: Children of Wrath: A Bilingual Edition,0,1971,2,4.33,0801811740
Vida Y Obra,0,1997,2,0.0,8485417194
Knights Templar in Britain,2,2004,2,3.45,1405801638
The Banquet of the Lords of Night and Other Stories,3,2005,2,3.76,1892389932
Lord of the Night,10,1998,2,3.81,0505522543
A Night to Remember,990,2005,1,4.03,0805077642
Good Night Lord,0,2000,2,0.0,0830725237
The Lords of Night: Vampires,0,2003,2,0.0,0954373502
Criminal Law,7,2007,2,3.83,0495095397
Criminal Investigation,0,2006,2,0.0,1428817018
Introduction to Criminal Justice,0,2007,2,3.45,0495095419
Facing the Fires: Conversations with A. B. Yehoshua,0,1998,2,4.0,0815604939
Open Heart,1,1996,2,3.44,0385267932
Five Seasons,0,1988,2,3.74,038523130X
The Terrible Power of a Minor Guilt: Literary Essays,0,2000,2,4.71,0815606567
Between Right and Right,0,1981,2,2.33,0385170351
The Continuing Silence of a Poet: Collected Stories,0,1998,2,3.87,0815605595
A Late Divorce,0,1984,2,3.93,0385155743
A Journey to the End of the Millennium,1,1999,2,3.8200000000000003,0385488823
Mr. Mani,0,1992,2,3.88,0385267924
Marathon Man,31,2001,1,4.12,0345439724
The Fall of Atlantis (Avalon Series),5,2003,1,3.76,0743471571
Leroni of Darkover (Darkover Series),9,1991,1,3.89,0886774942
Der Kadett,2,1999,6,4.29,3453149076
Women at War,1,1997,1,3.54,0812544587
Irresistible Forces,52,2004,1,3.51,0451211111
Ya no sufro por amor,6,2005,2,3.25,8427031793
The Lady,63,1988,1,3.84,0345356748
The Year of the Lucy,11,1987,1,3.64,0812585658
Anne McCaffrey: Science Fiction Storyteller,0,2001,2,3.7,0766011518
A Diversity of Dragons,15,1997,1,4.33,006105531X
The Coelura,56,1992,1,3.67,0517090635
Serve it Forth: Cooking With Anne McCaffrey,11,2004,1,3.92,0809500949
The Skies Of Pern,8,2002,1,4.07,0552146315
Red Star Rising: More Chronicles Of Pern,12,1997,2,4.01,0552142727
Doona (Omnibus: Crisis on Doona \ Treaty at Doona),4,2004,2,4.08,0441011314
The Dolphins of Pern (Dragonriders of Pern),12,1994,1,3.9699999999999998,0345368940
Lord Demon,22,2001,1,3.99,2207252159
Madwand,18,2011,1,3.74,0743475267
Jack of Shadows,171,1989,1,4.0,0451159764
To Die in Italbar/A Dark Travelling,9,2004,2,3.7,0743479149
This Immortal,5,2011,1,3.93,1596870745
Isle of the Dead / Eye of Cat,6,2001,1,4.01,0743434684
Visual Guide to Castle Amber,23,1988,1,3.58,0380755661
The Illustrated Roger Zelazny,9,1979,1,3.98,0441365256
The Williamson Effect,5,1997,2,3.67,0312863950
Donnerjack,31,1998,2,3.8200000000000003,0380770229
The Web,0,1988,2,3.51,0553271660
Today We Choose Faces,4,1973,2,3.67,0451054350
Say It with Charts Workbook,0,2004,2,3.8,007144162X
Walter the Farting Dog Goes on a Cruise,55,2006,2,4.04,0525477144
Walter the Farting Dog: Trouble At the Yard Sale,71,2006,2,3.91,0142406260
The Powers That Be: Theology for a New Millennium,100,1999,2,4.22,0385487525
A Wild Ride Through The Night,5,2004,2,3.91,0099450178
The Genius of Gilbert Stuart,0,1999,2,3.6,0691059454
Beatriz y los cuerpos celestes,52,2006,2,3.42,842333757X
Actos de Amor y de Placer,0,2007,2,3.5300000000000002,842703315X
40 Days to Personal Revolution: 40 Days to Personal Revolution,53,2004,1,4.05,0743227832
Mi Papa es un Pretzel: Yoga para padres e hijos [My Daddy is a Pretzel: Yoga for Parents and Kids],1,2005,2,4.14,9703703569
Weight Loss Confidential: How Teens Lose Weight and Keep It Off - and What They Wish Parents Knew,1,2007,2,3.65,061843366X
Party Confidential,3,2006,2,4.06,0821257803
Restaurant Confidential,6,2002,1,3.41,0761100350
High School Confidential: Secrets of an Undercover Student,89,2013,1,3.07,0743283635
Wilco: Learning How to Die,102,2004,2,3.87,0767915585
Mommy Confidential: Adventures from the Wonderbelly of Motherhood,2,2006,2,3.0,1593304358
The Confidential Internet Intelligence Manuscript,0,2003,2,4.38,0974613312
Headhunters Confidential! 125 Insider Secrets to Landing Your Dream Job,0,2000,2,4.0,0071352309
L. A. Confidential - Stadt der Teufel,1,2006,6,4.21,3548264549
The Phantom of the Opera: Piano/Vocal,40,1989,1,4.4,079352699X
The Complete Phantom of the Opera,64,1991,1,4.3,0805017224
The Phantom of the Opera,51,1994,2,3.9699999999999998,0140368132
The Essential Phantom of the Opera,10,2004,2,3.9699999999999998,0743498364
The Dynamics of Persuasion: Communication and Attitudes in the 21st Century,0,2002,2,3.89,0805840885
Swiss Family Robinson,3,2004,2,3.92,1414282249
The Swiss Family Robinson,1684,2006,1,3.92,1402726023
Persuasion and Influence in American Life,0,2004,2,3.17,1577662857
Persuasion Engineering,10,1996,2,3.96,0916990362
Artful Persuasion,9,2000,2,3.43,0814470637
Swiss Family Robinson (Stepping Stones),4,2006,1,3.76,0375875255
The Swiss Family Robinson: Or Adventures on a Desert Island,0,2007,2,3.92,1426456336
Swiss Family Robinson (Award Adventure Classics),1,1982,1,3.62,086163070X
Swiss Family Robinson: With a Discussion of Teamwork,0,2003,2,4.31,159203036X
Fighter Wing: A Guided Tour of an Air Force Combat Wing (Guided Tour),15,2004,2,3.74,0425193705
Special Forces: A Guided Tour of U.S. Army Special Forces,13,2001,1,3.74,0425172686
Into the Storm: On the Ground in Iraq (Commanders),0,2004,2,3.88,0425196771
Clancy: Three Complete Novels,10,1994,1,4.41,0399139354
Reflections on a Gift of Watermelon Pickle...: And Other Modern Verse,7,1974,1,4.06,0590024434
Watermelon Wishes,8,2006,2,3.93,0618564330
Watermelon Day,13,1996,1,3.6,0805023046
One Cool Watermelon,0,2007,2,3.0,0836881435
The Ultimate Jack the Ripper Companion: An Illustrated Encyclopedia,3,2001,2,4.21,078670926X
Jack the Ripper: Scotland Yard Investigates,3,2006,2,4.11,0750942282
Jack the Ripper: The Definitive History,21,2004,1,3.74,1405807121
Jack the Ripper: Letters from Hell,11,1997,2,4.01,075093770X
Jack the Ripper: The 21st Century Investigation: A Top Murder Squad Detective Finally Uncovers the Truth,3,2005,2,3.36,1844541037
The Ultimate Jack the Ripper Companion,16,2000,2,4.21,0786707682
The Mammoth Book of Jack the Ripper,26,1999,1,3.8,0786706260
The American Murders of Jack the Ripper: Tantalizing Evidence of the Gruesome American Interlude of the Prime Ripper Suspect,0,2005,1,3.03,1592286755
Jack the Ripper: The Facts,16,2006,1,4.02,1861056877
Jack the Ripper: First American Serial Killer,11,1998,2,3.56,1568362579
Jack the Ripper: End of a Legend,0,2005,2,2.62,1844014843
The Women of Whitechapel and Jack the Ripper,6,1992,2,3.2800000000000002,0879514787
The Diary of Jack the Ripper: The Diary of Jack the Ripper,7,1995,2,3.61,0671520997
Alias Jack the Ripper: Beyond the Usual Whitechapel Suspects,0,2000,1,3.5,0786408987
Jack the Ripper and the London Press,2,2001,1,3.96,0300088728
